FINAL MODEL TRAINING METRICS
==================================================

Training Epochs: 120
Final Training Loss: 0.005884
Final Training Accuracy: 99.96%
Total Parameters: 3,162,963
Training Data Shape: (141030, 375, 6)

Epoch-by-Epoch Metrics:
Epoch	Train_Loss	Train_Acc
1	0.813586	66.14
2	0.594045	75.99
3	0.489776	80.68
4	0.419117	83.97
5	0.363523	86.53
6	0.318223	88.58
7	0.284045	90.09
8	0.251209	91.54
9	0.231511	92.27
10	0.212437	93.13
11	0.201961	93.53
12	0.191708	93.93
13	0.179874	94.38
14	0.171167	94.81
15	0.164990	95.05
16	0.160510	95.24
17	0.154124	95.51
18	0.149748	95.67
19	0.146970	95.77
20	0.142824	96.01
21	0.140153	96.08
22	0.138286	96.18
23	0.134179	96.32
24	0.131316	96.46
25	0.131774	96.42
26	0.130400	96.51
27	0.126298	96.71
28	0.125309	96.70
29	0.125843	96.69
30	0.123805	96.79
31	0.120976	96.90
32	0.120507	96.93
33	0.119458	96.99
34	0.119063	96.97
35	0.114940	97.11
36	0.116531	97.09
37	0.115991	97.06
38	0.116367	97.09
39	0.113999	97.19
40	0.115828	97.18
41	0.114244	97.14
42	0.113090	97.22
43	0.112159	97.26
44	0.112087	97.26
45	0.112276	97.25
46	0.108973	97.29
47	0.110911	97.32
48	0.108391	97.46
49	0.109631	97.35
50	0.108366	97.40
51	0.110829	97.33
52	0.107919	97.41
53	0.107817	97.43
54	0.107349	97.47
55	0.108820	97.44
56	0.108875	97.45
57	0.106794	97.45
58	0.108485	97.46
59	0.104839	97.57
60	0.105323	97.58
61	0.107892	97.49
62	0.104905	97.55
63	0.104559	97.58
64	0.103560	97.59
65	0.106354	97.58
66	0.104896	97.60
67	0.106098	97.56
68	0.103454	97.67
69	0.103256	97.67
70	0.103276	97.63
71	0.104313	97.64
72	0.100377	97.71
73	0.102373	97.65
74	0.101370	97.72
75	0.102071	97.66
76	0.101079	97.73
77	0.101842	97.74
78	0.101853	97.74
79	0.100777	97.75
80	0.100374	97.75
81	0.102236	97.71
82	0.100889	97.74
83	0.101825	97.73
84	0.046908	99.34
85	0.027463	99.60
86	0.021208	99.65
87	0.018724	99.68
88	0.016107	99.73
89	0.016314	99.71
90	0.014469	99.76
91	0.014287	99.77
92	0.014031	99.74
93	0.013357	99.79
94	0.013889	99.76
95	0.013568	99.77
96	0.013157	99.79
97	0.013976	99.75
98	0.014243	99.75
99	0.013953	99.77
100	0.013068	99.80
101	0.013461	99.77
102	0.013209	99.79
103	0.013517	99.77
104	0.013179	99.77
105	0.013435	99.78
106	0.013900	99.78
107	0.013563	99.77
108	0.013854	99.76
109	0.014385	99.77
110	0.013408	99.78
111	0.014234	99.76
112	0.010142	99.89
113	0.008477	99.92
114	0.007934	99.93
115	0.006895	99.95
116	0.006764	99.95
117	0.006551	99.95
118	0.006305	99.95
119	0.006321	99.95
120	0.005884	99.96
